-95	2233	-6
-96	2233	-7
-88	2233	-3
-93	2232	-7
-80	2232	0
-89	2232	-6
-82	2232	-3
-86	2232	-5
-74	2233	0
-80	2233	-3
-63	2233	4
-65	2232	3
-63	2232	4
-64	2232	3
-62	2232	4
-66	2231	1
-74	2231	-2
-66	2231	0
-56	2231	5
-44	2232	11
-25	2232	21
-6	2233	31
10	2233	40
11	2233	41
12	2234	42
14	2234	43
3	2233	38
-5	2233	34
-11	2233	31
-21	2232	26
-31	2233	21
-37	2233	17
-38	2233	17
-36	2233	18
-34	2233	19
-36	2233	18
-25	2233	23
-15	2232	29
-12	2231	30
-8	2232	33
-5	2232	34
2	2233	38
3	2234	39
-1	2234	37
0	2234	38
1	2233	39
-7	2233	35
0	2233	39
3	2232	40
8	2231	43
3	2231	41
1	2231	40
0	2231	40
-1	2232	39
6	2232	43
13	2233	47
13	2233	47
12	2233	47
17	2233	50
18	2233	51
23	2233	54
26	2233	56
39	2233	63
42	2234	65
44	2235	67
46	2235	68
50	2235	71
53	2235	73
59	2236	77
65	2236	80
65	2235	81
68	2235	83
61	2235	80
60	2235	80
65	2235	84
60	2235	81
61	2236	83
57	2235	81
59	2234	83
52	2234	79
46	2234	77
36	2233	72
40	2232	74
25	2232	67
30	2232	70
29	2232	69
28	2233	69
17	2233	63
16	2234	63
13	2234	61
2	2235	55
-13	2235	47
-33	2235	37
-32	2235	37
-39	2235	33
